level2,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
Adhesion,310,305,172,143
Anaerobic degradation of aromatic compounds,387,356,82,80
Aromatic amino acids and derivatives,6217,5785,1903,1720
"Bacterial cytostatics, differentiation factors and antibiotics",23,25,9,3
"Bacteriocins, ribosomally synthesized antibacterial peptides",3,2,15,8
Biosynthesis of phenylpropanoids,67,63,21,17
Branched-chain amino acids,7574,7210,2383,2213
CO2 fixation,4189,3922,1490,1335
CRISPRs and associated hypotheticals,0,0,2,2
Capsular and extracellular polysacchrides,4736,4379,1544,1379
Central carbohydrate metabolism,17595,16411,6210,5701
"Choline bitartrate degradation, putative",166,149,56,59
Clustering-based subsystems,1415,1289,399,380
Coenzyme B,3,2,0,0
Coenzyme F420,104,106,11,5
Cold shock,201,186,81,83
Cytochrome biogenesis,682,627,238,213
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster,72,76,23,20
DNA metabolism,49,41,3,4
DNA polymerase III epsilon cluster,440,435,110,111
DNA repair,11112,10295,3556,3306
DNA replication,5139,4766,1693,1520
Electron accepting reactions,3099,2952,1417,1345
Fatty acids,4891,4606,1711,1577
Fermentation,3096,2811,880,802
Flagellar motility in Prokaryota,2221,2013,714,622
Gene Transfer Agent (GTA),61,54,39,34
"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",2169,2067,752,701
Gram-Negative cell wall components,4527,4237,1372,1212
Heat shock,978,915,284,282
Histidine Metabolism,2509,2297,763,702
Hypothetical Related to Dihydroorate Dehydrogenase,387,342,103,96
Hypothetical lipase related to Phosphatidate metabolism,164,131,28,22
Isoprenoids,3325,3010,882,770
"Lysine, threonine, methionine, and cysteine",10234,9446,3790,3430
Metabolism of central aromatic intermediates,1213,1083,321,309
Molybdopterin oxidoreductase,554,495,128,112
Monosaccharides,2784,2574,975,864
One-carbon Metabolism,4908,4542,1636,1531
Organic acids,2741,2594,1096,1070
Organic sulfur assimilation,1595,1439,473,401
Osmotic stress,3093,2960,834,762
Pathogenicity islands,1306,1280,715,637
"Phages, Prophages",15504,14460,2903,2615
Phospholipids,870,823,310,272
Plant-Prokaryote DOE project,28169,26381,8969,8125
Polysaccharides,1093,989,262,255
Probably Pyrimidine biosynthesis-related,492,464,181,178
Probably Ybbk-related hypothetical membrane proteins,241,228,62,50
Proline and 4-hydroxyproline,468,478,165,154
Proteasome related clusters,8,7,5,5
"Protein and nucleoprotein secretion system, Type IV",1197,1157,438,415
Protein degradation,6887,6393,2693,2446
Protein processing and modification,3073,2871,1234,1135
"Protein secretion system, Type I",42,44,16,16
"Protein secretion system, Type V",5,7,1,2
Putative GGDEF domain protein related to agglutinin secretion,26,31,21,16
"Putrescine/GABA utilization cluster-temporal,to add to SSs",296,284,106,106
Pyrimidines,2381,2133,855,746
Pyruvate kinase associated cluster,51,55,6,10
Quinone cofactors,1507,1331,406,366
Quorum sensing and biofilm formation,716,676,268,249
RNA processing and modification,10530,9686,3264,3034
Recombination related cluster,191,182,26,24
Regulation of virulence,872,803,267,231
Resistance to antibiotics and toxic compounds,6711,6124,2114,1912
"Riboflavin, FMN, FAD",1140,1028,341,318
Selenoproteins,605,536,210,202
Social motility and nonflagellar swimming in bacteria,2,2,0,0
Sugar alcohols,1937,1805,534,463
Tetrapyrroles,6899,6301,1586,1550
Three hypotheticals linked to lipoprotein biosynthesis,101,88,9,8
Transcription,6076,5709,2508,2265
Transposable elements,297,267,146,121
Two related proteases,213,199,93,89
recX and regulatory cluster,0,0,2,2
tRNA sulfuration,174,154,45,46
