level3,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
(GlcNAc)2_Catabolic_Operon,4,4,6,6
16S_rRNA_modification_within_P_site_of_ribosome,3,0,1,1
2-Ketogluconate_Utilization,1,2,0,1
2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens,1,0,0,0
2-methylcitrate_to_2-methylaconitate_metabolism_cluster,36,37,21,25
2-phosphoglycolate_salvage,31,25,7,5
4-Hydroxyphenylacetic_acid_catabolic_pathway,131,115,37,41
5-FCL-like_protein,2162,1976,795,715
ABC-type_iron_transport_system,33,26,9,10
ABC_transporter_[iron.B12.siderophore.hemin],5,3,3,3
ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1),422,374,46,39
ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1),1396,1350,509,469
ABC_transporter_dipeptide_(TC_3.A.1.5.2),565,536,142,132
ABC_transporter_oligopeptide_(TC_3.A.1.5.1),913,818,206,182
ABC_transporter_peptide_(TC_3.A.1.5.5),6,2,13,12
ABC_transporter_tungstate_(TC_3.A.1.6.2),131,109,31,30
AMP_to_3-phosphoglycerate,2,0,2,1
ATP-dependent_Nuclease,2,3,2,2
"ATP-dependent_RNA_helicases,_bacterial",748,695,321,295
ATP-dependent_efflux_pump_transporter_Ybh,4,4,0,0
A_Glutathione-dependent_Thiol_Reductase_Associated_with_a_Step_in_Lysine_Biosynthesis,287,292,133,121
A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins,11,11,7,6
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence,0,0,1,1
Accessory_colonization_factor,2,3,0,0
"Acetoin,_butanediol_metabolism",1065,1019,355,332
Acetone_Butanol_Ethanol_Synthesis,681,586,173,156
Acetyl-CoA_fermentation_to_Butyrate,106,98,38,37
Acid_resistance_mechanisms,305,273,120,110
Acyclic_terpenes_utilization,88,74,28,22
Acyl-CoA_thioesterase_II,58,47,32,23
Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_,0,0,1,1
Adaptation_to_d-cysteine,2,1,1,2
Additional_flagellar_genes_in_Vibrionales,1,1,0,0
Adenosyl_nucleosidases,144,136,68,70
Adhesins_in_Staphylococcus,11,12,53,51
Adhesion_of_Campylobacter,2,6,4,0
Aerotolerance_operon_in_Bacteroides_and_potentially_orthologous_operons_in_other_organisms,553,509,167,152
Agrobacterium_opine_transport,38,27,7,7
Alanine_biosynthesis,757,698,274,251
Alginate_metabolism,522,480,255,215
Alkaloid_biosynthesis_from_L-lysine,234,234,124,119
Alkanesulfonate_assimilation,775,648,269,223
Alkanesulfonates_Utilization,3,5,0,0
Alkylphosphonate_utilization,412,399,43,46
Allantoin_Utilization,202,192,63,62
Allophanate_hydrolase_2_and_Biotin_carboxylase_cluster,182,174,69,69
Alpha-Amylase_locus_in_Streptocococcus,46,31,7,10
Alpha-acetolactate_operon,16,15,0,0
Amidase_clustered_with_urea_and_nitrile_hydratase_functions,10,8,3,2
Aminopeptidases_(EC_3.4.11.-),1281,1154,428,416
Ammonia_assimilation,3829,3596,1246,1137
Anaerobic_Oxidative_Degradation_of_L-Ornithine,4,2,4,4
Anaerobic_benzoate_metabolism,382,355,80,79
Anaerobic_respiratory_reductases,530,473,171,147
Anaerobic_toluene_and_ethylbenzene_degradation,5,1,2,1
Anthrose_Biosynthesis,0,0,1,0
Archaeal_Flagellum,7,4,1,1
Archaeal_lipids,505,446,125,124
Archaeal_membrane_bound_hydrogenases,0,0,1,0
Archease,0,2,1,1
Archease2,1,2,4,1
Arginine_Biosynthesis_extended,2824,2672,873,826
Arginine_and_Ornithine_Degradation,715,691,213,185
Aromatic_Amin_Catabolism,57,55,21,13
Aromatic_amino_acid_degradation,282,268,106,89
Aromatic_amino_acid_interconversions_with_aryl_acids,432,371,71,62
Arsenic_resistance,280,241,95,94
Aspartate_aminotransferase,68,72,15,12
At1g01770,12,10,0,0
At1g10830,188,171,3,3
At1g14345,236,211,100,93
At1g24340,0,0,5,3
At1g26220_At1g32070,82,68,23,29
At1g33290_At1g73170_At3g10420,86,70,60,58
At1g48360,0,0,1,0
At1g52510_AT4G12830_(COG0596),102,85,37,27
At1g54520,186,176,70,59
At1g69340_At2g40600,3,8,4,1
At2g23840,1376,1340,433,417
At2g33980_At1g28960,425,373,162,143
At2g44920_At1g12250,36,41,2,0
At3g21300,903,826,326,292
At3g50560,871,821,193,166
At4g10620_At3g57180_At3g47450,272,280,76,58
At4g17370,332,300,66,60
At4g38090,153,161,38,34
At5g04520_AT1G06240,1231,1195,443,406
At5g11840_At5g67370,46,47,4,5
At5g37530,515,488,178,153
At5g38900,97,76,45,30
At5g48545_and_At3g56490_At1g31160,118,115,49,45
