,gene function,organism,nador_1_counts,phylum,class,order,family
0,(2Fe-2S)-binding domain protein,Haliangium ochraceum DSM 14365,0.0,Proteobacteria,Deltaproteobacteria,Myxococcales,Kofleriaceae
1,(2Fe-2S)-binding domain-containing protein,Halanaerobium sp. ''sapolanicus'',1.75,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae
2,(2Fe-2S)-binding domain-containing protein,Meiothermus ruber DSM 1279,0.0,,Deinococci,Thermales,Thermaceae
3,(3R)-hydroxymyristoyl-ACP dehydratase,Rhodospirillum rubrum ATCC 11170,1.76,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
4,(3R)-hydroxymyristoyl-ACP dehydratase,Teredinibacter turnerae T7901,0.0,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
5,(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter litoralis HTCC2594,0.0,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
6,(Acyl-carrier-protein) S-malonyltransferase,Nocardioides sp. JS614,0.0,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae
7,(S)-2-hydroxy-acid oxidase,Acidovorax sp. JS42,2.47,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
8,(di)nucleoside polyphosphate hydrolase,Saccharophagus degradans 2-40,2.45,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
9,(dimethylallyl)adenosine tRNA methylthiotransferase,Bartonella henselae str. Houston-1,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae
10,(dimethylallyl)adenosine tRNA methylthiotransferase,Chlorobium phaeobacteroides BS1,0.0,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae
11,(dimethylallyl)adenosine tRNA methylthiotransferase,Gluconacetobacter diazotrophicus PAl 5,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
12,(dimethylallyl)adenosine tRNA methylthiotransferase,Porphyromonas gingivalis W83,1.71,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae
13,(dimethylallyl)adenosine tRNA methylthiotransferase,Xanthomonas campestris pv. vesicatoria str. 85-10,1.68,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae
14,(glutamate--ammonia-ligase) adenylyltransferase,Acidiphilium cryptum JF-5,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
15,(p)ppGpp synthetase,Chitinophaga pinensis DSM 2588,2.38,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae
16,(p)ppGpp synthetase,Dyadobacter fermentans DSM 18053,1.66,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae
17,(p)ppGpp synthetase,Jonesia denitrificans DSM 20603,1.71,Actinobacteria,Actinobacteria,Micrococcales,Jonesiaceae
18,(p)ppGpp synthetase,Paracoccus denitrificans PD1222,6.55,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
19,(p)ppGpp synthetase I,Frankia sp. CcI3,0.0,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae
20,-bisphosphoglycerate-independent phosphoglycerate mutase,Francisella novicida FTG,1.72,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae
21,-heptose,Haemophilus influenzae 7P49H1,0.0,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
22,037L,Invertebrate iridescent virus 6,1.65,,,,Iridoviridae
23,1,Synechococcus sp. WH 8109,2.47,Cyanobacteria,,Synechococcales,Synechococcaceae
24,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Acidovorax sp. JS42,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
25,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Jannaschia sp. CCS1,5.79,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
26,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Lactococcus lactis subsp. cremoris SK11,0.0,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae
27,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Octadecabacter antarcticus 238,10.68,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
28,1-acyl-sn-glycerol-3-phosphate acyltransferase,Flavobacteriales bacterium ALC-1,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,
29,1-aminocyclopropane-1-carboxylate deaminase,Anabaena variabilis ATCC 29413,0.0,Cyanobacteria,,Nostocales,Nostocaceae
30,1-aminocyclopropane-1-carboxylate deaminase,Flavobacteria bacterium MS024-2A,5.68,Bacteroidetes,Flavobacteriia,,
31,1-aminocyclopropane-1-carboxylate deaminase,Saccharopolyspora erythraea NRRL 2338,0.0,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae
32,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Acaryochloris marina MBIC11017,0.0,Cyanobacteria,,Synechococcales,Acaryochloridaceae
33,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Brachyspira murdochii DSM 12563,1.5,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae
34,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Candidatus Koribacter versatilis Ellin345,0.0,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae
35,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Congregibacter litoralis KT71,5.76,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
36,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Dermacoccus sp. Ellin185,0.0,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae
37,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Rhodococcus erythropolis SK121,0.0,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
38,1-deoxy-D-xylulose 5-phosphate reductoisomerase,uncultured Termite group 1 bacterium phylotype Rs-D17,0.0,Elusimicrobia,,,
39,1-deoxy-D-xylulose-5-phosphate synthase,Aggregatibacter aphrophilus NJ8700,0.0,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
40,1-deoxy-D-xylulose-5-phosphate synthase,Azoarcus sp. BH72,1.55,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae
41,1-deoxy-D-xylulose-5-phosphate synthase,Bacteroides sp. 1_1_6,1.62,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae
42,1-deoxy-D-xylulose-5-phosphate synthase,Burkholderia cenocepacia HI2424,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
43,1-deoxy-D-xylulose-5-phosphate synthase,Burkholderia pseudomallei 305,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
