gene function,organism,counts,nador_2_counts
(2Fe-2S)-binding domain-containing protein,Halanaerobium sp. ''sapolanicus'',2,1.61
(2Fe-2S)-binding domain-containing protein,Meiothermus ruber DSM 1279,1,0.0
(2Fe-2S)-binding protein,Oceanibulbus indolifex HEL-45,1,0.0
(3R)-hydroxymyristoyl-ACP dehydratase,Desulfitobacterium hafniense Y51,1,0.0
(3R)-hydroxymyristoyl-ACP dehydratase,Rhodospirillum rubrum ATCC 11170,2,1.64
(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter litoralis HTCC2594,1,0.0
(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter sp. NAP1,1,0.0
(S)-2-hydroxy-acid oxidase,Acidovorax sp. JS42,5,4.03
(di)nucleoside polyphosphate hydrolase,Saccharophagus degradans 2-40,2,1.64
(dimethylallyl)adenosine tRNA methylthiotransferase,Aquifex aeolicus VF5,1,0.0
(dimethylallyl)adenosine tRNA methylthiotransferase,Bartonella henselae str. Houston-1,1,0.0
(dimethylallyl)adenosine tRNA methylthiotransferase,Gluconacetobacter diazotrophicus PAl 5,1,0.0
(dimethylallyl)adenosine tRNA methylthiotransferase,Saccharopolyspora erythraea NRRL 2338,4,3.3
(dimethylallyl)adenosine tRNA methylthiotransferase,Xanthomonas campestris pv. vesicatoria str. 85-10,2,1.61
(glutamate--ammonia-ligase) adenylyltransferase,Acidiphilium cryptum JF-5,3,2.46
(glutamate--ammonia-ligase) adenylyltransferase,Parvibaculum lavamentivorans DS-1,1,0.0
(p)ppGpp synthetase,Chitinophaga pinensis DSM 2588,3,2.41
(p)ppGpp synthetase,Clostridium lentocellum DSM 5427,1,0.0
(p)ppGpp synthetase,Jonesia denitrificans DSM 20603,1,0.0
(p)ppGpp synthetase,Paracoccus denitrificans PD1222,10,8.23
(p)ppGpp synthetase I,Frankia sp. CcI3,1,0.0
-D / a-ketoglutarate dioxygenase,Ralstonia eutropha JMP134,1,0.0
-bisphosphoglycerate-independent phosphoglycerate mutase,Francisella novicida FTG,1,0.0
-heptose,Haemophilus influenzae 7P49H1,1,0.0
037L,Invertebrate iridescent virus 6,1,0.0
1,Synechococcus sp. WH 8109,4,3.37
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Acidovorax sp. JS42,1,0.0
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Jannaschia sp. CCS1,8,6.63
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Octadecabacter antarcticus 238,4,3.33
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Roseibium sp. TrichSKD4,1,0.0
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Roseovarius sp. TM1035,1,0.0
1-acyl-sn-glycerol-3-phosphate acetyltransferase,Maribacter sp. HTCC2170,3,2.44
1-acyl-sn-glycerol-3-phosphate acyltransferase,Flavobacteriales bacterium ALC-1,1,0.0
1-aminocyclopropane-1-carboxylate deaminase,Anabaena variabilis ATCC 29413,1,0.0
1-aminocyclopropane-1-carboxylate deaminase,Flavobacteria bacterium MS024-2A,7,5.69
1-aminocyclopropane-1-carboxylate deaminase,Saccharopolyspora erythraea NRRL 2338,2,1.62
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Brachyspira murdochii DSM 12563,3,2.45
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Candidatus Koribacter versatilis Ellin345,1,0.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Congregibacter litoralis KT71,2,1.64
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Dermacoccus sp. Ellin185,2,1.59
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Rhodobacteraceae bacterium KLH11,4,3.36
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Rhodococcus erythropolis SK121,1,0.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Salmonella enterica subsp. enterica serovar Kentucky str. CDC 191,1,0.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Sphingopyxis alaskensis RB2256,1,0.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,uncultured Termite group 1 bacterium phylotype Rs-D17,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Acetobacter pasteurianus IFO 3283-01,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Azoarcus sp. BH72,2,1.71
1-deoxy-D-xylulose-5-phosphate synthase,Bacteroides sp. 1_1_6,3,2.55
1-deoxy-D-xylulose-5-phosphate synthase,Burkholderia pseudomallei 305,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Desulfotalea psychrophila LSv54,4,3.23
1-deoxy-D-xylulose-5-phosphate synthase,Methylobacterium nodulans ORS 2060,2,1.65
1-deoxy-D-xylulose-5-phosphate synthase,Methylococcus capsulatus str. Bath,3,2.5
1-deoxy-D-xylulose-5-phosphate synthase,Pseudomonas fluorescens Pf-5,2,1.57
1-deoxy-D-xylulose-5-phosphate synthase,Rhodococcus jostii RHA1,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Roseomonas cervicalis ATCC 49957,4,3.3
1-deoxy-D-xylulose-5-phosphate synthase,Sulfitobacter sp. NAS-14.1,10,8.19
1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. CC9902,7,5.82
1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. PCC 7335,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. WH 7803,4,3.28
1-deoxy-D-xylulose-5-phosphate synthase,Thermomicrobium roseum DSM 5159,2,1.65
1-deoxy-xylulose 5-phosphate synthase,Thermodesulfovibrio yellowstonii DSM 11347,1,0.0
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,Methylobacter tundripaludum SV96,1,0.0
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,2,1.68
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,Vibrio sp. Ex25,1,0.0
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase.,Alcanivorax borkumensis SK2,3,2.47
